date,ticker,price,sp500_price,risk_free_rate,market_excess,stock_excess
20171130,b9aae40e,27.65,2647.58,8.00E-04,0.00893162,0.029118083
20171229,b9aae40e,28.48,2673.61,9.00E-04,0.055078725,-0.087827528
20180131,b9aae40e,26.01,2823.81,0.0011,-0.04004738,-0.006867013
20180228,b9aae40e,25.86,2713.83,0.0011,-0.028084514,0.17938778
20180329,b9aae40e,30.53,2640.87,0.0012,0.001318801,0.013994694
20180430,b9aae40e,31,2648.05,0.0014,0.020208353,0.102793548
20180531,b9aae40e,34.23,2705.27,0.0014,0.0034424,-0.104525913
20180629,b9aae40e,30.7,2718.37,0.0014,0.034421586,0.029996091
20180731,b9aae40e,31.67,2816.29,0.0016,0.028663219,0.11586132
20180831,b9aae40e,35.39,2901.52,0.0016,0.002794301,0.055295705
20180928,b9aae40e,37.4,2913.98,0.0015,-0.071303359,-0.034252941
20181031,b9aae40e,36.19,2711.74,0.0019,0.016059382,0.060095551
20181130,b9aae40e,38.43,2760.17,0.0018,-0.093676956,0.028544965
20181231,b9aae40e,39.6,2506.85,0.0019,0.076584405,0.030980808
20190131,b9aae40e,40.91,2704.1,0.0021,0.02792893,0.017021804
20190228,b9aae40e,41.68,2784.49,0.0018,0.016024288,0.017293858
20190329,b9aae40e,42.48,2834.4,0.0019,0.037213435,-0.032938041
20190430,b9aae40e,41.17,2945.83,0.0021,-0.067877726,-0.175284358
20190531,b9aae40e,34.04,2752.06,0.0021,0.067130183,0.02992738
20190628,b9aae40e,35.12,2941.76,0.0018,0.011228195,-0.029804328
20190731,b9aae40e,34.14,2980.38,0.0019,-0.019691653,0.064598008
20190830,b9aae40e,36.4,2926.46,0.0016,0.015381168,0.086112088
20190930,b9aae40e,39.6,2976.74,0.0018,0.018931747,0.011631313
20191031,b9aae40e,40.12,3037.56,0.0015,0.032847064,-0.010920837
20191129,b9aae40e,39.73,3140.98,0.0012,0.027189803,-0.000896602
20191231,b9aae40e,39.75,3230.78,0.0014,-0.667612775,0.06163522
20100129,901855ab,42.2,1073.87,0,0.028513693,0.047156398
20100226,901855ab,44.19,1104.49,0,0.058696368,0.074351233
20100331,901855ab,47.48,1169.43,1.00E-04,0.014659327,-0.005365375
20100430,901855ab,47.23,1186.69,1.00E-04,-0.082075916,-0.006028435
20100528,901855ab,46.95,1089.41,1.00E-04,-0.053982377,-0.0001
20100630,901855ab,46.95,1030.71,1.00E-04,0.068677833,0.08019819
20100730,901855ab,50.72,1101.6,1.00E-04,-0.047549165,-0.004240379
20100831,901855ab,50.51,1049.33,1.00E-04,0.087451104,0.020885943
